key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
KEYBOARD_PANEL0_GRID0,ABCDEFMNOPQRYZÄÁÇËÎÑÖÓÒÔ=+-*/%,ABCDEFMNOPQRYZÀÂÆÇÔŒÙÛÜŸ=+-*/%,ABCDEFMNOPQRYZÄÀÇËÎÑÖÒÓÔ=+-*/%,あかさたなはいきしちにひうくすつぬふえけせてねへおこそとのほ,ㄱㄲㄴㄷㄸㄹㅁㅂㅃㅅㅆㅇㅈㅉㅊㅋㅌㅍㅎ     =+-*/%,ABCDEFMNOPQRYZÄÁÇËÎÑÖÓÒÔ=+-*/%,ABCDEFMNOPQRYZÄÁÇËÎÑÖÓÒÔ=+-*/%,ABCDEFMNOPQRYZĄÁĆÊÎŃÕÓÒÔ=+-*/%,ABCDEFMNOPQRYZĄĆĘŁÊÎÑÔŒÛ=+-*/%,ABCDEFMNOPQRYZÄÁÆÇÌÎÖÓÒŒ=+-*/%,АБВГДЕЛМНОПРЧШЩЪЫЬ______=+-*/%,АБВГҐДЇЙКЛМНФХЦЧШЩ______=+-*/%
KEYBOARD_PANEL0_GRID1,GHIJKLSTUVWXÉÈÊÏÍÌŒÜÚÙÛ ()⟦⟧“”,GHIJKLSTUVWXÉÈÊËÎÏ«»<>– ()⟦⟧“”,GHIJKLSTUVWXÈÉÊÏÌÍŒÜÙÚÛ ()⟦⟧“”,まやらわぁゃみ　り　ぃ　むゆるをぅゅめ　れ　ぇっもよろんぉょ,ㅏㅐㅑㅒㅓㅔㅕㅖㅗㅘㅙㅚㅛㅜㅝㅞㅟㅠㅡㅢㅣ   ()⟦⟧“”,GHIJKLSTUVWXÉÈÊÏÍÌŒÜÚÙÛ ()⟦⟧“”,GHIJKLSTUVWXÉÈÊÏÍÌŒÜÚÙÛ ()⟦⟧“”,GHIJKLSTUVWXÉÈÊÏÍÌŒÜÚÙÛ ()⟦⟧“”,GHIJKLSTUVWXŃÓŚŹŻ ÄËÏÖÜŸ()⟦⟧“”,GHIJKLSTUVWXËÉÈÊÏÍẞÜÚÙÛ ()⟦⟧„“,"ЁЖЗИЙКСТУФХЦЭЮЯ,. ______()«»“”","ЕЄЖЗИІОПРСТУЬЮЯ,. ______()«»“”"
KEYBOARD_PANEL0_GRID2,"1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""\'~©","1234567890`@♪$&.!?:;,""\'~©",がざだばぱぎじぢびぴぐずづぶぷげぜでべぺごぞどぼぽ,"1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890':;?!`@$&#—~""♪©","1234567890':;?!`@$&#—~""♪©"
KEYBOARD_PANEL1_GRID0,abcdefmnopqryzäáçëîñöóòô=+-*/%,abcdefmnopqryzàâæçôœùûüÿ=+-*/%,abcdefmnopqryzäàçëîñöòóô=+-*/%,アカサタナハイキシチニヒウクスツヌフエケセテネヘオコソトノホ,ABCDEFMNOPQRYZÄÀÇËÎÑÖÒÓÔ=+-*/%,abcdefmnopqryzäáçëîñöóòô=+-*/%,abcdefmnopqryzäáçëîñöóòô=+-*/%,abcdefmnopqryzãáçêîñõóòô=+-*/%,abcdefmnopqryząćęłêîñôœû=+-*/%,abcdefmnopqryzäáæçìîöóòœ=+-*/%,абвгделмнопрчшщъыь______=+-*/%,абвгґдїйклмнфхцчшщ______=+-*/%
KEYBOARD_PANEL1_GRID1,ghijklstuvwxéèêïíìœüúùû ()⟦⟧“”,ghijklstuvwxéèêëîï«»<>– ()⟦⟧“”,ghijklstuvwxèéêïìíœüùúû ()⟦⟧“”,マヤラワァャミ　リ　ィ　ムユルヲゥュメ　レ　ェッモヨロンォョ,GHIJKLSTUVWXÈÉÊÏÌÍŒÜÙÚÛ ()⟦⟧“”,ghijklstuvwxéèêïíìœüúùû ()⟦⟧“”,ghijklstuvwxéèêïíìœüúùû ()⟦⟧“”,ghijklstuvwxéèêïíìœüúùû ()⟦⟧“”,ghijklstuvwxńóśźż äëïöüÿ()⟦⟧“”,ghijklstuvwxëéèêïíßüúùû ()⟦⟧„“,"ёжзийкстуфхцэюя,. ______()«»“”","еєжзиіопрстуьюя,. ______()«»“”"
KEYBOARD_PANEL1_GRID2,"1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""\'~©","1234567890`@♪$&.!?:;,""'~©",ガザダバパギジヂビピグズヅブプゲゼデベペゴゾドボポ,"1234567890`@♪$&.!?:;,""\'~©","1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890`@♪$&.!?:;,""'~©","1234567890':;?!`@$&#—~""♪©","1234567890':;?!`@$&#—~""♪©"
KEYBOARD_PANEL2_GRID0,,,,ＡＢＣＤＥＦＧＨＩＪＫＬＭＮＯＰＱＲＳＴＵＶＷＸＹＺ（）＆＄,abcdefmnopqryzäàçëîñöòóô=+-*/%,,,,,,ABCDEFGHIJKLMNOPQRSTUVWXYZÉÈÊË,ABCDEFGHIJKLMNOPQRSTUVWXYZÉÈÊË
KEYBOARD_PANEL2_GRID1,,,,ａｂｃｄｅｆｇｈｉｊｋｌｍｎｏｐｑｒｓｔｕｖｗｘｙｚ：；，．,ghijklstuvwxèéêïìíœüùúû ()⟦⟧“”,,,,,,abcdefghijklmnopqrstuvwxyzéèêë,abcdefghijklmnopqrstuvwxyzéèêë
KEYBOARD_PANEL2_GRID2,,,,１２３４５６７８９０＝＋－＊／～ー・、。！？「」🎶,"1234567890`@♪$&.!?:;,""'~©",,,,,,"1234567890':;?!`@$&#—~""♪©","1234567890':;?!`@$&#—~""♪©"
KEYBOARD_PANEL0_NAME,CAPITAL,CAPITALES,MAIUSCOLE,かな,한국어,MAYÚS,MAYÚS,MAIÚSCULAS,DUŻE,GROẞ,ЗАГЛАВНЫЕ,ВЕЛИКІ ЛІТЕРИ
KEYBOARD_PANEL1_NAME,SMALL,MINUSCULES,MINUSCOLE,カナ,영어 대문자,MINUS,MINUS,minúsculas,MAŁE,klein,СТРОЧНЫЕ,МАЛІ ЛІТЕРИ
KEYBOARD_PANEL2_NAME,,,,ABC,영어 소문자,,,,,,ЛАТИНИЦА,ЛАТИНЬ
